Unnamed: 0,Analysis,Attribute,Standard names,Unnamed: 4
0,hplc,aex-hplc total acidic peaks,aex acidic peaks,nan
1,bio_icief,aex hplc-acidic peaks,aex acidic peaks,nan
2,hplc,aex total acidic peaks,aex acidic peaks,nan
3,hplc,aex-hplc acidic peaks,aex acidic peaks,nan
4,bio_icief,aex-hplc total acidic peaks,aex acidic peaks,nan
5,bio_icief,aex hplc-basic peaks,aex basic peaks,nan
6,hplc,aex-hplc total basic peaks,aex basic peaks,nan
7,bio_icief,aex-hplc total basic peaks,aex basic peaks,nan
8,hplc,aex-hplc basic peaks,aex basic peaks,nan
9,hplc,aex total basic peaks,aex basic peaks,nan
10,icief,aex main peak,aex main peak,nan
11,bio_icief,aex-hplc main peak,aex main peak,nan
12,icief_2,aex main peak,aex main peak,nan
13,bio_icief,aex hplc- main peak,aex main peak,nan
14,hplc,aex main peak,aex main peak,nan
15,hplc,aex-hplc main peak,aex main peak,nan
16,bio_icief,aex main peak,aex main peak,nan
17,ce_sds_2,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
18,ce_sds,[ce-sds (non-reduced) a(hhl)],ce-sds (non-reduced) hhl,nan
19,ce_sds,ce-sds (non-reduced) hhl area %,ce-sds (non-reduced) hhl,nan
20,ce_sds,ce-sds (non-reduced) a(hhl),ce-sds (non-reduced) hhl,nan
21,ce_sds,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
22,ce_sds_2,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
23,bio_ce-sds_nr,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
24,ce_sds,ce-sds (non-reduced) ahhl,ce-sds (non-reduced) hhl,nan
25,ce_sds,"ce-sds (non-reduced) sum of a(lgg), a(lc) and a(hhl)",ce-sds (non-reduced) hhl,nan
26,bio_ce-sds_nr,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
27,ce_sds,ce-sds (non-reduced) hhl peak,ce-sds (non-reduced) hhl,nan
28,ce_sds_2,ce-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
29,ce_sds_2,ce-sds (non-reduced) hhl>=lod,ce-sds (non-reduced) hhl,nan
30,ce_sds_2,ce-sds (non-reduced) minor peak 2(hhl) >dl,ce-sds (non-reduced) hhl,nan
31,ce_sds_3,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
32,ce_sds_2,ce-sds (non-reduced) migration time of minor peak 2(hhl),ce-sds (non-reduced) hhl,nan
33,ce_sds,ce-sds (non-reduced) a(hhl,ce-sds (non-reduced) hhl,nan
34,ce_sds,ce-sds (non-reduced) hhl >=lod,ce-sds (non-reduced) hhl,nan
35,ce_sds,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
36,ce_sds,ce-sds (non-reduced) hhl,ce-sds (non-reduced) hhl,nan
37,bio_ce-sds_nr,ce-sds (non-reduced) purity,ce-sds (non-reduced) purity,nan
38,ce_sds,ce-sds (non-reduced) %purity,ce-sds (non-reduced) purity,nan
