,analysis,Analysis_tokens,Attribute_name,Attribute_tokens,Cluster,cls_Cluster
0,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Main Peak A%,ic ##ie ##f main peak a %,0,8
1,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Sum of Basic Peaks (A% of Basic Group),ic ##ie ##f sum of basic peaks ( a % of basic group ),0,8
2,BIO_ICIEF,bio _ ic ##ie ##f,cIEF Basic Peaks,ci ##ef basic peaks,0,11
3,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Cumulative Area Relatlimab,ic ##ie ##f basic group cumulative area re ##lat ##lim ##ab,0,5
4,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Cumulative Area Nivolumab,ic ##ie ##f acidic group cumulative area ni ##vo ##lum ##ab,0,5
5,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Cumulative Area Nivolumab,ic ##ie ##f basic group cumulative area ni ##vo ##lum ##ab,0,5
6,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Cumulative Area Relatlimab,ic ##ie ##f acidic group cumulative area re ##lat ##lim ##ab,0,5
7,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Nivolumab (% of cumulative area),ic ##ie ##f basic group ni ##vo ##lum ##ab ( % of cumulative area ),0,5
8,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Group Nivolumab (% of cumulative area),ic ##ie ##f acidic group ni ##vo ##lum ##ab ( % of cumulative area ),0,5
9,ICIEF_2,ic ##ie ##f _ 2,iCIEF Group 1,ic ##ie ##f group 1,0,30
10,ICIEF,ic ##ie ##f,iCIEF Acidic Variants,ic ##ie ##f acidic variants,0,19
11,ICIEF_2,ic ##ie ##f _ 2,iCE Al(b),ice al ( b ),0,30
12,ICIEF,ic ##ie ##f,iCIEF Acidic group - Nivolumab,ic ##ie ##f acidic group - ni ##vo ##lum ##ab,0,16
13,ICIEF,ic ##ie ##f,iCIEF Basic group- aLAG3,ic ##ie ##f basic group - ala ##g ##3,0,30
14,ICIEF,ic ##ie ##f,iCIEF Acidic group- aLAG3,ic ##ie ##f acidic group - ala ##g ##3,0,14
15,ICIEF,ic ##ie ##f,iCIEF Basic group - Nivolumab,ic ##ie ##f basic group - ni ##vo ##lum ##ab,0,16
16,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Basic Group Cumulative Area,ic ##ie ##f basic group cumulative area,0,5
17,BIO_ICIEF,bio _ ic ##ie ##f,iCIEFAcidic Group Cumulative Area,ic ##ie ##fa ##ci ##dic group cumulative area,0,5
18,BIO_ICIEF,bio _ ic ##ie ##f,iCIEF Acidic Species Cumulative Area,ic ##ie ##f acidic species cumulative area,0,0
19,ICIEF,ic ##ie ##f,iCIEF: Basic,ic ##ie ##f : basic,0,11
20,ICIEF,ic ##ie ##f,iCIEF: Acidic,ic ##ie ##f : acidic,0,19
