Analysis,Attribute,Standard names
HPLC,AEX-HPLC TOTAL ACIDIC PEAKS,AEX ACIDIC PEAKS
BIO_ICIEF,AEX HPLC-ACIDIC PEAKS,AEX ACIDIC PEAKS
HPLC,AEX TOTAL ACIDIC PEAKS,AEX ACIDIC PEAKS
HPLC,AEX-HPLC ACIDIC PEAKS,AEX ACIDIC PEAKS
BIO_ICIEF,AEX-HPLC TOTAL ACIDIC PEAKS,AEX ACIDIC PEAKS
BIO_ICIEF,AEX HPLC-BASIC PEAKS,AEX BASIC PEAKS
HPLC,AEX-HPLC TOTAL BASIC PEAKS,AEX BASIC PEAKS
BIO_ICIEF,AEX-HPLC TOTAL BASIC PEAKS,AEX BASIC PEAKS
HPLC,AEX-HPLC BASIC PEAKS,AEX BASIC PEAKS
HPLC,AEX TOTAL BASIC PEAKS,AEX BASIC PEAKS
ICIEF,AEX MAIN PEAK,AEX MAIN PEAK
BIO_ICIEF,AEX-HPLC MAIN PEAK,AEX MAIN PEAK
ICIEF_2,AEX MAIN PEAK,AEX MAIN PEAK
BIO_ICIEF,AEX HPLC- MAIN PEAK,AEX MAIN PEAK
HPLC,AEX MAIN PEAK,AEX MAIN PEAK
HPLC,AEX-HPLC MAIN PEAK,AEX MAIN PEAK
BIO_ICIEF,AEX MAIN PEAK,AEX MAIN PEAK
CE_SDS_2,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
CE_SDS,[CE-SDS (NON-REDUCED) A(HHL)],CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) HHL AREA %,CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) A(HHL),CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
BIO_CE-SDS_NR,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
CE_SDS,CE-SDS (NON-REDUCED) AHHL,CE-SDS (NON-REDUCED) HHL
