Analysis,Attribute,parent_class,parent_class_prob,child_class,child_class_prob,predicted_class
D_250475,IL2 INHIBITION ASSAY,4,0.99926704,1,0.9999999,potency by cell-based bioassay
D_95007196,PH,5,0.9976162,1,1.0,ph
D_M00003744,ABATACEPT MAJOR BAND (REDUCED),0,0.9954755,1,0.6896071,ce-sds (non-reduced) hhl
Y_SM_95011468_R,BIOASSAY,4,0.9992341,3,0.9999944,spr binding activity
250684_CE_SDS_REDUC,SUM HEAVY AND LIGHT CHAIN,0,0.99956805,3,0.993867,ce-sds (reduced) purity
250580_TOTAL_PROT,PAAD,6,0.8963878,1,1.0,protein concentration (a280)
250580_TOTAL_PROT,SAMPLE 1 MASS,6,0.8842855,1,1.0,protein concentration (a280)
250684_CE_SDS_REDUC,SS RM 3 PURITY HC AND LC PEAKS,0,0.99955934,3,0.9999908,ce-sds (reduced) purity
250683_CE_SDS_NON_RE,MAIN PEAK,0,0.99945134,2,0.9579515,ce-sds (non-reduced) purity
Y_SM_95007441_R,B7 BINDING  SPR,4,0.9992454,3,1.0,spr binding activity
Y_SM_95009421_R,FREE SULFHYDRAL GROUPS,0,0.5032131,3,0.9442122,ce-sds (reduced) purity
D_95007441,B7 BINDING,4,0.9991866,3,0.99998164,spr binding activity
D_95007423,SDS COOM REDUCED MAJOR BAND,0,0.999549,1,0.63605374,ce-sds (non-reduced) hhl
250657_SIZE_HOMOG,MONOMER,2,0.9993975,4,0.8401348,se-hplc monomer
250684_CE_SDS_REDUC,SAMPLE HC RETENTION TIME,0,0.9994442,3,0.9606665,ce-sds (reduced) purity
250683_CE_SDS_NON_RE,SAMPLE IGG RET TIME,0,0.9993826,2,0.9275666,ce-sds (non-reduced) purity
250657_SIZE_HOMOG,HMW,2,0.9993204,2,0.89468104,se-hplc hmw
250580_TOTAL_PROT,SAMPLE 3 MASS,6,0.8971774,1,1.0,protein concentration (a280)
95007196_PH,PH,5,0.9976835,1,1.0,ph
250657_SIZE_HOMOG,RSD FIRST 6 REF STD INJECTIONS,2,0.7253292,4,0.99937004,se-hplc monomer
250658_CATION_EXCH,PEAK 4,1,0.99887556,9,0.59537256,cex main peak
250658_CATION_EXCH,RT PEAK 1 SPL COMPARED WITH RM RT,1,0.574855,9,0.99050903,cex main peak
D_95007433,TOTAL PARTICLES PER CONTAINER 25 MICRON,3,0.9982582,2,0.96161574,particulate-matter >= 25-um
250657_SIZE_HOMOG,LMW,2,0.9993007,3,0.8990009,se-hplc lmw
250684_CE_SDS_REDUC,SAMPLE LC RETENTION TIME,0,0.99936134,3,0.79338276,ce-sds (reduced) purity
Y_SM_95007423_R,SDS COO REDUCED UNEXP NEW BAND (NUMERIC),0,0.9994814,3,0.9993037,ce-sds (reduced) purity
Y_SM_250197_R,SIALIC ACID NGNA 1 DECPT,4,0.73038054,3,0.9998405,spr binding activity
D_95007423,SDS COOM NONREDUCED MAJOR BAND,0,0.99952865,1,0.97155166,ce-sds (non-reduced) hhl
D_95007424,PROTEIN  CONCENTRATION MG_ML,6,0.99771094,1,1.0,protein concentration (a280)
Y_SM_250735_R,PEAK M3,1,0.9979128,7,0.8841862,cex acidic peaks
Y_SM_250191_R,RM SIZE HOMOGENEITY MONOMER 1DECPT,2,0.9984882,1,0.6953908,rp-hplc purity
250580_TOTAL_PROT,TOTAL PROTEIN CONCENTRATION,6,0.99767095,1,1.0,protein concentration (a280)
250657_SIZE_HOMOG,PEAK HEIGHT MONOMER PEAK SAMPLE,2,0.9982331,4,0.96929234,se-hplc monomer
250658_CATION_EXCH,RM USP THEORETICAL PLATES,1,0.9978319,9,0.79312426,cex main peak
