,Analysis,Attribute,Standard names
0,HPLC,AEX-HPLC TOTAL ACIDIC PEAKS,AEX ACIDIC PEAKS
1,BIO_ICIEF,AEX HPLC-ACIDIC PEAKS,AEX ACIDIC PEAKS
2,HPLC,AEX TOTAL ACIDIC PEAKS,AEX ACIDIC PEAKS
3,HPLC,AEX-HPLC ACIDIC PEAKS,AEX ACIDIC PEAKS
4,BIO_ICIEF,AEX-HPLC TOTAL ACIDIC PEAKS,AEX ACIDIC PEAKS
5,BIO_ICIEF,AEX HPLC-BASIC PEAKS,AEX BASIC PEAKS
6,HPLC,AEX-HPLC TOTAL BASIC PEAKS,AEX BASIC PEAKS
7,BIO_ICIEF,AEX-HPLC TOTAL BASIC PEAKS,AEX BASIC PEAKS
8,HPLC,AEX-HPLC BASIC PEAKS,AEX BASIC PEAKS
9,HPLC,AEX TOTAL BASIC PEAKS,AEX BASIC PEAKS
10,ICIEF,AEX MAIN PEAK,AEX MAIN PEAK
11,BIO_ICIEF,AEX-HPLC MAIN PEAK,AEX MAIN PEAK
12,ICIEF_2,AEX MAIN PEAK,AEX MAIN PEAK
13,BIO_ICIEF,AEX HPLC- MAIN PEAK,AEX MAIN PEAK
14,HPLC,AEX MAIN PEAK,AEX MAIN PEAK
15,HPLC,AEX-HPLC MAIN PEAK,AEX MAIN PEAK
16,BIO_ICIEF,AEX MAIN PEAK,AEX MAIN PEAK
17,CE_SDS_2,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
18,CE_SDS,[CE-SDS (NON-REDUCED) A(HHL)],CE-SDS (NON-REDUCED) HHL
19,CE_SDS,CE-SDS (NON-REDUCED) HHL AREA %,CE-SDS (NON-REDUCED) HHL
20,CE_SDS,CE-SDS (NON-REDUCED) A(HHL),CE-SDS (NON-REDUCED) HHL
21,CE_SDS,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
22,CE_SDS_2,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
23,BIO_CE-SDS_NR,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
24,CE_SDS,CE-SDS (NON-REDUCED) AHHL,CE-SDS (NON-REDUCED) HHL
25,CE_SDS,"CE-SDS (NON-REDUCED) SUM OF A(LGG), A(LC) AND A(HHL)",CE-SDS (NON-REDUCED) HHL
26,BIO_CE-SDS_NR,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
27,CE_SDS,CE-SDS (NON-REDUCED) HHL PEAK,CE-SDS (NON-REDUCED) HHL
28,CE_SDS_2,CE-SDS (NON-REDUCED) HHL >=LOD,CE-SDS (NON-REDUCED) HHL
29,CE_SDS_2,CE-SDS (NON-REDUCED) HHL>=LOD,CE-SDS (NON-REDUCED) HHL
30,CE_SDS_2,CE-SDS (NON-REDUCED) MINOR PEAK 2(HHL) >DL,CE-SDS (NON-REDUCED) HHL
31,CE_SDS_3,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
32,CE_SDS_2,CE-SDS (NON-REDUCED) MIGRATION TIME OF MINOR PEAK 2(HHL),CE-SDS (NON-REDUCED) HHL
33,CE_SDS,CE-SDS (NON-REDUCED) A(HHL,CE-SDS (NON-REDUCED) HHL
34,CE_SDS,CE-SDS (NON-REDUCED) HHL >=LOD,CE-SDS (NON-REDUCED) HHL
35,CE_SDS,CE-SDS (NON-REDUCED) HHL ,CE-SDS (NON-REDUCED) HHL
36,CE_SDS,CE-SDS (NON-REDUCED) HHL,CE-SDS (NON-REDUCED) HHL
37,BIO_CE-SDS_NR,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
38,CE_SDS,CE-SDS (NON-REDUCED) %PURITY,CE-SDS (NON-REDUCED) PURITY
39,CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 2.06",CE-SDS (NON-REDUCED) PURITY
40,BIO_CE-SDS_NR,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
41,CE_SDS_3,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
42,CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 2.01",CE-SDS (NON-REDUCED) PURITY
43,CE_SDS_2,CE-SDS (NON-REDUCED)SUM OF UNDEFINED PEAKS  PURITY,CE-SDS (NON-REDUCED) PURITY
44,CE_SDS_2,CE-SDS (NON-REDUCED): PURITY,CE-SDS (NON-REDUCED) PURITY
45,CE_SDS_2,CE-SDS (NON-REDUCED) % PURITY,CE-SDS (NON-REDUCED) PURITY
46,CE_SDS,CE-SDS (NON-REDUCED) % PURITY,CE-SDS (NON-REDUCED) PURITY
47,CE_SDS,CE-SDS (NON-REDUCED) -(% PURITY),CE-SDS (NON-REDUCED) PURITY
48,CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITYRRT2.02),CE-SDS (NON-REDUCED) PURITY
49,CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITYRRT1.99),CE-SDS (NON-REDUCED) PURITY
50,CAPILLARY_ELECTROPHORESIS,CGE-SDS Non-Reduced Purity,CE-SDS (NON-REDUCED) PURITY
51,CE_SDS,CE-SDS (NON-REDUCED) PURITY OF HEAVY AND LIGHT CHAIN PEAKS,CE-SDS (NON-REDUCED) PURITY
52,CE_SDS_2,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
53,CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 2.02",CE-SDS (NON-REDUCED) PURITY
54,CE_SDS,"CE-SDS (NON-REDUCED),UNKNOWN IMPURITY, RRT 1.76",CE-SDS (NON-REDUCED) PURITY
55,CE_SDS_2,CE-SDS (NON-REDUCED) %PURITY,CE-SDS (NON-REDUCED) PURITY
56,CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY 7),CE-SDS (NON-REDUCED) PURITY
57,CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY 6),CE-SDS (NON-REDUCED) PURITY
58,CE_SDS,CE-SDS (NON-REDUCED) A(Y) (FOR EACH UNKNOWN IMPURITY),CE-SDS (NON-REDUCED) PURITY
59,CE_SDS,CE SDS (Non-Reduced) Monomer,CE-SDS (Non-Reduced) purity
60,CE_SDS,CE-SDS (NR) - Corrected Area% of IgG Purity,CE-SDS (Non-Reduced) purity
61,CE_SDS_2,CE-SDS (NON-REDUCED) % PURITY,CE-SDS (NON-REDUCED) PURITY
62,CE_SDS_2,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
63,CE_SDS,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
64,CE_SDS,CE-SDS (NON-REDUCED) PURITY,CE-SDS (NON-REDUCED) PURITY
65,CE_SDS,CE-SDS (NON-REDUCED)  PURITY OF MAJOR PEAK,CE-SDS (NON-REDUCED) PURITY
66,CE_SDS_2,CE-SDS (NON-REDUCED) SUM OF UNDEFINED PEAKS PURITY,CE-SDS (NON-REDUCED) PURITY
67,CE_SDS_2,CE-SDS (REDUCED)% PURITY,CE-SDS (REDUCED) PURITY
68,CE_SDS,CE-SDS (REDUCED) -(%PURITY),CE-SDS (REDUCED) PURITY
69,CE_SDS,CE-SDS (REDUCED): PURITY,CE-SDS (REDUCED) PURITY
70,CE_SDS_2,CE-SDS (REDUCED) PURITY OF HEAVY AND LIGHT CHAIN PEAKS,CE-SDS (REDUCED) PURITY
71,CE_SDS,CE-SDS (REDUCED) %  PURITY,CE-SDS (REDUCED) PURITY
72,CAPILLARY_ELECTROPHORESIS_2,CGE-SDS Reduced Purity,CE-SDS (REDUCED) PURITY
73,CE_SDS,"CE-SDS (REDUCED),UNKNOWN IMPURITY, RRT 0.06",CE-SDS (REDUCED) PURITY
74,CE_SDS,"CE-SDS (REDUCED),UNKNOWN IMPURITY, RRT 1.16",CE-SDS (REDUCED) PURITY
75,CE_SDS_2,CE-SDS (REDUCED) PURITY (HC + LC),CE-SDS (REDUCED) PURITY
76,CE_SDS_2,CE-SDS (REDUCED) PURITY ,CE-SDS (REDUCED) PURITY
77,CE_SDS_2,CE-SDS (REDUCED) %PURITY,CE-SDS (REDUCED) PURITY
78,CE_SDS_2,CE-SDS (REDUCED) % PURITY,CE-SDS (REDUCED) PURITY
79,CE_SDS,CE-SDS (REDUCED) % PURITY,CE-SDS (REDUCED) PURITY
