,Analysis,Attribute,parent_class,parent_class_prob
0,D_250475,IL2 INHIBITION ASSAY,4,0.9978806
1,D_95007196,PH,5,0.9980683
2,D_M00003744,ABATACEPT MAJOR BAND (REDUCED),0,0.9396882
3,Y_SM_95011468_R,BIOASSAY,4,0.9973379
4,250684_CE_SDS_REDUC,SUM HEAVY AND LIGHT CHAIN,0,0.9994986
5,250580_TOTAL_PROT,PAAD,6,0.3444883
6,250580_TOTAL_PROT,SAMPLE 1 MASS,3,0.86263174
7,250684_CE_SDS_REDUC,SS RM 3 PURITY HC AND LC PEAKS,0,0.9994593
8,250683_CE_SDS_NON_RE,MAIN PEAK,0,0.9994592
9,Y_SM_95007441_R,B7 BINDING  SPR,4,0.9981237
10,Y_SM_95009421_R,FREE SULFHYDRAL GROUPS,0,0.6883767
11,D_95007441,B7 BINDING,4,0.99799037
12,D_95007423,SDS COOM REDUCED MAJOR BAND,0,0.9994892
13,250657_SIZE_HOMOG,MONOMER,2,0.998993
14,250684_CE_SDS_REDUC,SAMPLE HC RETENTION TIME,0,0.9993405
15,250683_CE_SDS_NON_RE,SAMPLE IGG RET TIME,0,0.999311
16,250657_SIZE_HOMOG,HMW,2,0.9992304
17,250580_TOTAL_PROT,SAMPLE 3 MASS,3,0.71925855
18,95007196_PH,PH,5,0.9980394
19,250657_SIZE_HOMOG,RSD FIRST 6 REF STD INJECTIONS,2,0.9983569
20,250658_CATION_EXCH,PEAK 4,1,0.9993247
21,250658_CATION_EXCH,RT PEAK 1 SPL COMPARED WITH RM RT,1,0.9977081
22,D_95007433,TOTAL PARTICLES PER CONTAINER 25 MICRON,3,0.99093795
23,250657_SIZE_HOMOG,LMW,2,0.99930596
24,250684_CE_SDS_REDUC,SAMPLE LC RETENTION TIME,0,0.9993426
25,Y_SM_95007423_R,SDS COO REDUCED UNEXP NEW BAND (NUMERIC),0,0.99949265
26,Y_SM_250197_R,SIALIC ACID NGNA 1 DECPT,0,0.6476726
27,D_95007423,SDS COOM NONREDUCED MAJOR BAND,0,0.99949527
28,D_95007424,PROTEIN  CONCENTRATION MG_ML,6,0.9950347
29,Y_SM_250735_R,PEAK M3,1,0.65728104
30,Y_SM_250191_R,RM SIZE HOMOGENEITY MONOMER 1DECPT,2,0.9967919
31,250580_TOTAL_PROT,TOTAL PROTEIN CONCENTRATION,6,0.99500257
32,250657_SIZE_HOMOG,PEAK HEIGHT MONOMER PEAK SAMPLE,2,0.9985929
33,250658_CATION_EXCH,RM USP THEORETICAL PLATES,1,0.9991346
34,D_95007421,HIGH MOLECULAR WEIGHT SPECIES,2,0.9970203
