analysis,Attribute_name,class_probabilities,labels,max_prob,label
D_250475,IL2 INHIBITION ASSAY,[0.9641308188438416],[5],0.9641308188438416,5
D_95007196,PH,[0.997627317905426],[8],0.997627317905426,8
D_M00003744,ABATACEPT MAJOR BAND (REDUCED),[0.9975391626358032],[0],0.9975391626358032,0
Y_SM_95011468_R,BIOASSAY,"[0.8629494905471802, 0.04849901795387268, 0.015777844935655594, 0.012186452746391296, 0.011447861790657043]","[5, 9, 6, 10, 2]",0.8629494905471802,5
250684_CE_SDS_REDUC,SUM HEAVY AND LIGHT CHAIN,[0.9992501139640808],[0],0.9992501139640808,0
250580_TOTAL_PROT,PAAD,[0.9724606275558472],[9],0.9724606275558472,9
250580_TOTAL_PROT,SAMPLE 1 MASS,[0.9716528058052063],[9],0.9716528058052063,9
250684_CE_SDS_REDUC,SS RM 3 PURITY HC AND LC PEAKS,[0.9993009567260742],[0],0.9993009567260742,0
250683_CE_SDS_NON_RE,MAIN PEAK,[0.9989823698997498],[0],0.9989823698997498,0
Y_SM_95007441_R,B7 BINDING  SPR,[0.979091227054596],[7],0.979091227054596,7
Y_SM_95009421_R,FREE SULFHYDRAL GROUPS,"[0.5766417980194092, 0.12531059980392456, 0.11096465587615967, 0.08518361300230026, 0.022612184286117554, 0.02010616660118103, 0.0166444331407547]","[0, 8, 9, 7, 1, 4, 2]",0.5766417980194092,0
D_95007441,B7 BINDING,[0.977358341217041],[7],0.977358341217041,7
D_95007423,SDS COOM REDUCED MAJOR BAND,[0.9993601441383362],[0],0.9993601441383362,0
250657_SIZE_HOMOG,MONOMER,[0.99868243932724],[3],0.99868243932724,3
250684_CE_SDS_REDUC,SAMPLE HC RETENTION TIME,[0.9988405108451843],[0],0.9988405108451843,0
250683_CE_SDS_NON_RE,SAMPLE IGG RET TIME,[0.9987433552742004],[0],0.9987433552742004,0
250657_SIZE_HOMOG,HMW,[0.9988844990730286],[3],0.9988844990730286,3
250580_TOTAL_PROT,SAMPLE 3 MASS,[0.9773908853530884],[9],0.9773908853530884,9
95007196_PH,PH,[0.9976456761360168],[8],0.9976456761360168,8
250657_SIZE_HOMOG,RSD FIRST 6 REF STD INJECTIONS,"[0.6962716579437256, 0.15342947840690613, 0.07021834701299667, 0.029439661651849747, 0.010838943533599377]","[3, 9, 1, 7, 5]",0.6962716579437256,3
250658_CATION_EXCH,PEAK 4,[0.998432457447052],[2],0.998432457447052,2
250658_CATION_EXCH,RT PEAK 1 SPL COMPARED WITH RM RT,"[0.4716969132423401, 0.3388713300228119, 0.09085851162672043, 0.03480276092886925, 0.011590622365474701, 0.008548319339752197]","[1, 2, 4, 7, 9, 8]",0.4716969132423401,1
D_95007433,TOTAL PARTICLES PER CONTAINER 25 MICRON,[0.9891844987869263],[4],0.9891844987869263,4
250657_SIZE_HOMOG,LMW,[0.9989437460899353],[3],0.9989437460899353,3
250684_CE_SDS_REDUC,SAMPLE LC RETENTION TIME,[0.9988526105880737],[0],0.9988526105880737,0
