,analysis,Attribute_name,prediction_set,class_probabilities,labels,max_prob,label
0,D_250475,IL2 INHIBITION ASSAY,['potency by cell-based bioassay'],[0.9641308188438416],[5],0.9641308188438416,5
1,D_95007196,PH,['ph'],[0.997627317905426],[8],0.997627317905426,8
2,D_M00003744,ABATACEPT MAJOR BAND (REDUCED),['sds-page (reduced) purity'],[0.9975391626358032],[0],0.9975391626358032,0
3,Y_SM_95011468_R,BIOASSAY,"['potency by cell-based bioassay', 'protein concentration (a280)', 'potency by binding elisa', 'polysorbate 80', 'aex main peak']","[0.8629494905471802, 0.04849901795387268, 0.015777844935655594, 0.012186452746391296, 0.011447861790657043]","[5, 9, 6, 10, 2]",0.8629494905471802,5
4,250684_CE_SDS_REDUC,SUM HEAVY AND LIGHT CHAIN,['sds-page (reduced) purity'],[0.9992501139640808],[0],0.9992501139640808,0
5,250580_TOTAL_PROT,PAAD,['protein concentration (a280)'],[0.9724606275558472],[9],0.9724606275558472,9
6,250580_TOTAL_PROT,SAMPLE 1 MASS,['protein concentration (a280)'],[0.9716528058052063],[9],0.9716528058052063,9
7,250684_CE_SDS_REDUC,SS RM 3 PURITY HC AND LC PEAKS,['sds-page (reduced) purity'],[0.9993009567260742],[0],0.9993009567260742,0
8,250683_CE_SDS_NON_RE,MAIN PEAK,['sds-page (reduced) purity'],[0.9989823698997498],[0],0.9989823698997498,0
9,Y_SM_95007441_R,B7 BINDING  SPR,['spr binding activity'],[0.979091227054596],[7],0.979091227054596,7
10,Y_SM_95009421_R,FREE SULFHYDRAL GROUPS,"['sds-page (reduced) purity', 'ph', 'protein concentration (a280)', 'spr binding activity', 'rp-hplc purity', 'particulate-matter >= 25-um', 'aex main peak']","[0.5766417980194092, 0.12531059980392456, 0.11096465587615967, 0.08518361300230026, 0.022612184286117554, 0.02010616660118103, 0.0166444331407547]","[0, 8, 9, 7, 1, 4, 2]",0.5766417980194092,0
11,D_95007441,B7 BINDING,['spr binding activity'],[0.977358341217041],[7],0.977358341217041,7
12,D_95007423,SDS COOM REDUCED MAJOR BAND,['sds-page (reduced) purity'],[0.9993601441383362],[0],0.9993601441383362,0
13,250657_SIZE_HOMOG,MONOMER,['se-uplc monomer'],[0.99868243932724],[3],0.99868243932724,3
14,250684_CE_SDS_REDUC,SAMPLE HC RETENTION TIME,['sds-page (reduced) purity'],[0.9988405108451843],[0],0.9988405108451843,0
15,250683_CE_SDS_NON_RE,SAMPLE IGG RET TIME,['sds-page (reduced) purity'],[0.9987433552742004],[0],0.9987433552742004,0
16,250657_SIZE_HOMOG,HMW,['se-uplc monomer'],[0.9988844990730286],[3],0.9988844990730286,3
17,250580_TOTAL_PROT,SAMPLE 3 MASS,['protein concentration (a280)'],[0.9773908853530884],[9],0.9773908853530884,9
18,95007196_PH,PH,['ph'],[0.9976456761360168],[8],0.9976456761360168,8
